cat,nk,kn,knok,kodnuts,knuts,kodok,porob,kodob,ko,icob,iczuj,nazob,nazob_a,nazevur,nazevur_a,ico,om,ur,sm,psc,vymera,ob91,ob01,obakt,kodst,porcsu,kodfi,cfu,kodma,pcmat,probl,syob,sxob,mapa,nazcs,zmenazaz,zmenapol,cispou,okpo,kodpo,nazpo,nazpo_a,cisorp,okorp,kodorp,nazorp,nazorp_a,geometry
1,HP,01,0100,CZ0100,1100,3100,001,12702,7,554782,554782,Praha,Praha,Magistrát hlavního m?sta Prahy,Magistrat hlavniho mesta Prahy,00064581,1,0,01,11000,49589.599999999998545,1214174,1169106,1165581,89897,,89897,999,89897,,,742600,1043000,12-24-17,RTAIA,01052004,KODNUTS,11000,3100,12702,Hlavní m?sto Praha,Hlavni mesto Praha,1100,3100,12702,Hlavní m?sto Praha,Hlavni mesto Praha,"<Point><coordinates>14.424132200124061,50.087836793210776</coordinates></Point>"
2,ST,02,0201,CZ0201,2101,3201,001,00219,4,529303,529303,Bene?ov,Benesov,M?stský ú?ad Bene?ov,Mestsky urad Benesov,00231401,4,3,,25601,4687.029999999999745,15892,16323,16257,00219,210102,00219,021,00219,00230,,728486,1079285,13-33-11,BFPFWQZ,01052004,KODNUTS,21011,3201,00219,Bene?ov,Benesov,2101,3201,00219,Bene?ov,Benesov,"<Point><coordinates>14.686967446217389,49.781624709573883</coordinates></Point>"
3,ST,02,0201,CZ0201,2101,3201,002,00265,8,532568,532568,Bernartice,Bernartice,Obecní ú?ad Bernartice,Obecni urad Bernartice,00473359,8,4,,25765,1011.129999999999995,246,228,227,18354,210104,18354,022,02933,00280,,698411,1095121,23-12-03,BFTPATXKCF,01052004,KODNUTS,21251,3201,18354,Vla?im,Vlasim,2125,3201,18354,Vla?im,Vlasim,"<Point><coordinates>15.129144345395151,49.675563913296607</coordinates></Point>"
4,ST,02,0201,CZ0201,2101,3201,003,16496,8,530743,530743,Bílkovice,Bilkovice,Obecní ú?ad Bílkovice,Obecni urad Bilkovice,00232807,8,4,,25726,577.759999999999991,206,198,198,02626,210109,18354,022,18354,00353,,716384,1083350,13-33-19,BKNMQZKCF,01052004,KODNUTS,21251,3201,18354,Vla?im,Vlasim,2125,3201,18354,Vla?im,Vlasim,"<Point><coordinates>14.860950361769293,49.759719078226759</coordinates></Point>"
5,ST,02,0201,CZ0201,2101,3201,004,00551,7,532380,532380,Bla?ejovice,Blazejovice,Obecní ú?ad Bla?ejovice,Obecni urad Blazejovice,00473456,8,4,,25768,462.879999999999995,134,96,97,02933,210110,18354,022,02933,00280,,694125,1101920,23-12-14,BNAeFLQZKCF,01052004,KODNUTS,21251,3201,18354,Vla?im,Vlasim,2125,3201,18354,Vla?im,Vlasim,"<Point><coordinates>15.199932105798512,49.619794785750393</coordinates></Point>"
6,ST,02,0201,CZ0201,2101,3201,005,00780,3,532096,532096,Borovnice,Borovnice,Obecní ú?ad Borovnice,Obecni urad Borovnice,00473430,8,4,,25765,309.600000000000023,116,96,94,01888,210107,18354,022,01888,00256,,706726,1097059,23-12-06,BQTQZPKCF,01052004,KODNUTS,21251,3201,18354,Vla?im,Vlasim,2125,3201,18354,Vla?im,Vlasim,"<Point><coordinates>15.018333560098744,49.648732261020406</coordinates></Point>"
7,ST,02,0201,CZ0201,2101,3201,006,01582,2,532924,532924,Bukovany,Bukovany,Obecní ú?ad Bukovany,Obecni urad Bukovany,00508381,8,4,,25741,741.980000000000018,523,597,621,17239,210103,00219,021,17239,00345,,732348,1074146,12-44-10,BYMQZAPc,01052004,KODNUTS,21013,3201,17239,Týnec nad Sázavou,Tynec nad Sazavou,2101,3201,00219,Bene?ov,Benesov,"<Point><coordinates>14.624282350165091,49.82279433602119</coordinates></Point>"
8,ST,02,0201,CZ0201,2101,3201,007,01677,2,529451,529451,Byst?ice,Bystrice,M?stský ú?ad Byst?ice,Mestsky urad Bystrice,00231525,8,3,,25751,6337.199999999999818,3803,3872,3993,01677,210106,00219,021,01677,00248,,730615,1084553,13-33-21,BcVXUKCF,01052004,KODNUTS,21011,3201,00219,Bene?ov,Benesov,2101,3201,00219,Bene?ov,Benesov,"<Point><coordinates>14.6674009815518,49.732131937489612</coordinates></Point>"
9,ST,02,0201,CZ0201,2101,3201,008,01800,7,532690,532690,Ctibo?,Ctibor,Obecní ú?ad Ctibo?,Obecni urad Ctibor,00473511,8,4,,25801,391.839999999999975,119,108,106,18354,210104,18354,022,18354,00353,,713628,1086298,13-33-24,CXKBQU,01052004,KODNUTS,21251,3201,18354,Vla?im,Vlasim,2125,3201,18354,Vla?im,Vlasim,"<Point><coordinates>14.904196744702467,49.73666447557332</coordinates></Point>"
10,ST,02,0201,CZ0201,2101,3201,009,01827,9,529478,529478,?akov,Cakov,Obecní ú?ad ?akov,Obecni urad Cakov,00231541,8,4,,25724,528.730000000000018,112,109,117,00219,210102,00219,021,00219,00230,,717184,1075855,13-33-08,DAMQZ,01052004,KODNUTS,21011,3201,00219,Bene?ov,Benesov,2101,3201,00219,Bene?ov,Benesov,"<Point><coordinates>14.83633022455601,49.825593562834683</coordinates></Point>"
